request_type,department,officer_workload,queue_size,priority,medical_urgency,legal_urgency,citizen_category,escalation_count,base_days,sla_limit_days,processing_days,delayed,sla_breached,officer_id,is_anomaly,anomaly_type
Scholarship Request,Social Welfare,24,171,Medium,0,0,General,0,12.0,15.0,47.06,1,1,102,0,None
Business License,Commercial,16,85,Low,0,0,General,0,20.0,25.0,68.42,1,1,103,0,None
Scholarship Request,Social Welfare,20,95,Critical,1,0,General,0,12.0,15.0,12.32,0,0,103,0,None
Income Certificate,Revenue,12,80,Critical,0,1,Senior Citizen,1,5.0,7.0,6.6,1,0,108,0,None
Scholarship Request,Social Welfare,40,279,Critical,0,0,SC,0,12.0,15.0,29.65,1,1,105,0,None
Scholarship Request,Social Welfare,20,130,Low,0,0,OBC,0,12.0,15.0,53.16,1,1,103,0,None
Income Certificate,Revenue,18,81,Low,0,0,General,0,5.0,7.0,17.68,1,1,107,0,None
Scholarship Request,Social Welfare,14,78,Low,0,0,General,0,12.0,15.0,35.11,1,1,104,0,None
Scholarship Request,Social Welfare,21,108,Medium,0,0,General,0,12.0,15.0,36.94,1,1,106,0,None
Pension Request,Social Welfare,42,376,Low,0,0,General,0,18.0,21.0,158.36,1,1,106,0,None
Scholarship Request,Social Welfare,12,136,Medium,0,0,General,1,12.0,15.0,50.37,1,1,101,0,None
General Service Request,Revenue,13,122,Low,0,0,OBC,0,6.0,10.0,22.37,1,1,107,0,None
Caste Certificate,Revenue,24,137,Medium,0,0,ST,0,7.0,10.0,23.3,1,1,112,0,None
Business License,Commercial,21,124,Medium,0,0,OBC,0,20.0,25.0,66.35,1,1,106,0,None
Pension Request,Social Welfare,16,139,Medium,0,0,General,3,18.0,21.0,122.73,1,1,108,0,None
Scholarship Request,Social Welfare,23,158,Critical,0,0,General,1,12.0,15.0,25.02,1,1,102,0,None
Business License,Commercial,15,87,Low,0,0,Differently Abled,0,20.0,25.0,69.94,1,1,105,0,None
Pension Request,Social Welfare,18,172,Medium,0,0,General,0,18.0,21.0,64.22,1,1,103,0,None
Pension Request,Social Welfare,13,98,High,0,0,General,0,18.0,21.0,28.27,1,1,102,0,None
General Service Request,Revenue,16,127,Medium,0,0,ST,0,6.0,10.0,18.84,1,1,102,0,None
Scholarship Request,Social Welfare,17,165,Low,0,0,ST,0,12.0,15.0,54.72,1,1,112,0,None
Business License,Commercial,14,114,Critical,0,0,OBC,0,20.0,25.0,19.49,0,0,103,0,None
Scholarship Request,Social Welfare,12,82,Low,0,0,General,0,12.0,15.0,39.45,1,1,113,0,None
Scholarship Request,Social Welfare,22,106,Low,0,0,General,0,12.0,15.0,51.58,1,1,114,0,None
Complaint Registration,Complaints,16,157,Medium,0,0,OBC,0,15.0,20.0,50.26,1,1,110,0,None
Income Certificate,Revenue,20,165,High,0,0,OBC,0,5.0,7.0,12.43,1,1,101,0,None
Residence Certificate,Revenue,34,250,Low,0,0,General,0,4.0,7.0,26.92,1,1,110,0,None
Caste Certificate,Revenue,17,100,High,0,0,General,0,7.0,10.0,13.45,1,1,103,0,None
Income Certificate,Revenue,18,138,Medium,0,0,SC,0,5.0,7.0,17.38,1,1,111,0,None
Residence Certificate,Revenue,29,116,Critical,1,0,General,0,4.0,7.0,5.79,1,0,112,0,None
General Service Request,Revenue,31,262,Low,0,0,OBC,0,6.0,10.0,40.05,1,1,112,0,None
General Service Request,Revenue,18,83,High,0,0,General,0,6.0,10.0,12.19,1,1,108,0,None
Income Certificate,Revenue,35,253,Medium,0,0,OBC,0,5.0,7.0,26.17,1,1,110,0,None
Complaint Registration,Complaints,15,122,Medium,0,0,General,0,15.0,20.0,44.54,1,1,110,0,None
Business License,Commercial,27,114,Critical,0,1,General,0,20.0,25.0,27.49,1,1,105,0,None
Pension Request,Social Welfare,11,82,Critical,0,1,OBC,0,18.0,21.0,15.44,0,0,104,0,None
Residence Certificate,Revenue,18,151,High,0,0,Differently Abled,0,4.0,7.0,8.52,1,1,111,0,None
Income Certificate,Revenue,19,97,Medium,0,0,Senior Citizen,0,5.0,7.0,15.62,1,1,110,0,None
Residence Certificate,Revenue,12,115,Medium,0,0,General,0,4.0,7.0,11.0,1,1,103,0,None
Caste Certificate,Revenue,25,210,Medium,0,0,OBC,0,7.0,10.0,30.0,1,1,106,0,None
Caste Certificate,Revenue,13,110,Medium,0,0,General,0,7.0,10.0,17.46,1,1,102,0,None
Land Approval,Land,20,116,Low,0,0,OBC,0,30.0,45.0,122.99,1,1,103,0,None
Residence Certificate,Revenue,31,177,Medium,0,0,General,0,4.0,7.0,18.46,1,1,109,0,None
General Service Request,Revenue,17,109,Medium,0,0,General,0,6.0,10.0,17.67,1,1,106,0,None
Scholarship Request,Social Welfare,15,72,Medium,0,0,General,1,12.0,15.0,39.39,1,1,107,0,None
Business License,Commercial,26,123,Medium,0,0,SC,0,20.0,25.0,65.62,1,1,106,0,None
Caste Certificate,Revenue,21,148,Medium,0,0,General,3,7.0,10.0,52.89,1,1,106,0,None
Land Approval,Land,12,93,Low,0,0,General,0,30.0,45.0,101.2,1,1,106,0,None
Caste Certificate,Revenue,30,217,Medium,0,0,General,0,7.0,10.0,32.98,1,1,101,0,None
Land Approval,Land,16,132,Medium,0,0,OBC,0,30.0,45.0,81.27,1,1,104,0,None
Income Certificate,Revenue,10,100,High,0,0,ST,2,5.0,7.0,16.03,1,1,112,0,None
Residence Certificate,Revenue,13,110,Medium,0,0,ST,0,4.0,7.0,10.64,1,1,114,0,None
Complaint Registration,Complaints,18,143,Medium,0,0,SC,0,15.0,20.0,50.69,1,1,114,0,None
Business License,Commercial,21,177,Low,0,0,ST,0,20.0,25.0,98.66,1,1,111,0,None
Complaint Registration,Complaints,17,79,Medium,0,0,ST,0,15.0,20.0,42.5,1,1,104,0,None
Caste Certificate,Revenue,21,168,Medium,0,0,General,0,7.0,10.0,25.64,1,1,108,0,None
Caste Certificate,Revenue,31,282,Low,0,0,OBC,0,7.0,10.0,48.21,1,1,114,0,None
Pension Request,Social Welfare,10,71,Medium,0,0,OBC,0,18.0,21.0,39.28,1,1,109,0,None
Complaint Registration,Complaints,19,131,Medium,0,0,SC,0,15.0,20.0,48.32,1,1,108,0,None
General Service Request,Revenue,30,175,Medium,0,0,Differently Abled,0,6.0,10.0,24.15,1,1,106,0,None
Pension Request,Social Welfare,15,129,Medium,0,0,General,1,18.0,21.0,72.15,1,1,102,0,None
Caste Certificate,Revenue,15,115,High,0,0,General,0,7.0,10.0,14.95,1,1,112,0,None
Income Certificate,Revenue,18,106,Medium,0,0,General,0,5.0,7.0,14.91,1,1,103,0,None
Pension Request,Social Welfare,24,136,Medium,0,0,SC,1,18.0,21.0,92.35,1,1,103,0,None
Complaint Registration,Complaints,32,215,Medium,0,0,General,0,15.0,20.0,74.06,1,1,112,0,None
Residence Certificate,Revenue,23,200,Low,0,0,General,0,4.0,7.0,20.28,1,1,107,0,None
General Service Request,Revenue,11,113,Low,0,0,General,0,6.0,10.0,20.4,1,1,111,0,None
General Service Request,Revenue,12,89,Medium,0,0,SC,0,6.0,10.0,15.22,1,1,106,0,None
Income Certificate,Revenue,8,88,Medium,0,0,OBC,2,5.0,7.0,20.91,1,1,108,0,None
Income Certificate,Revenue,12,112,Medium,0,0,SC,0,5.0,7.0,13.51,1,1,101,0,None
Income Certificate,Revenue,15,75,Critical,0,0,General,0,5.0,7.0,5.74,0,0,101,0,None
General Service Request,Revenue,19,156,Medium,0,0,OBC,3,6.0,10.0,45.8,1,1,112,0,None
General Service Request,Revenue,28,245,Medium,0,0,General,0,6.0,10.0,28.93,1,1,113,0,None
Caste Certificate,Revenue,18,149,Low,0,0,General,0,7.0,10.0,30.69,1,1,108,0,None
Scholarship Request,Social Welfare,29,196,High,0,0,OBC,0,12.0,15.0,38.33,1,1,107,0,None
Complaint Registration,Complaints,7,62,Critical,0,1,General,0,15.0,20.0,11.93,0,0,114,0,None
Income Certificate,Revenue,9,86,Critical,0,0,General,0,5.0,7.0,3.82,0,0,113,0,None
Business License,Commercial,24,205,Critical,0,1,General,0,20.0,25.0,36.05,1,1,106,0,None
Business License,Commercial,19,105,Medium,0,0,General,0,20.0,25.0,61.89,1,1,103,0,None
Caste Certificate,Revenue,26,209,Low,0,0,ST,0,7.0,10.0,42.53,1,1,109,0,None
Residence Certificate,Revenue,24,115,Medium,0,0,General,0,4.0,7.0,13.94,1,1,108,0,None
Caste Certificate,Revenue,20,137,High,0,0,SC,1,7.0,10.0,23.16,1,1,110,0,None
Complaint Registration,Complaints,16,158,Medium,0,0,SC,0,15.0,20.0,51.64,1,1,107,0,None
Caste Certificate,Revenue,37,267,High,0,0,General,0,7.0,10.0,0.77,0,0,112,1,fast_approval
Business License,Commercial,17,142,Low,0,0,General,1,20.0,25.0,125.09,1,1,112,0,None
Scholarship Request,Social Welfare,8,76,Low,0,0,Differently Abled,0,12.0,15.0,32.36,1,1,107,0,None
Scholarship Request,Social Welfare,34,262,Critical,0,0,General,0,12.0,15.0,25.33,1,1,106,0,None
Residence Certificate,Revenue,14,90,Medium,0,0,OBC,0,4.0,7.0,10.78,1,1,113,0,None
Business License,Commercial,15,84,High,0,0,OBC,0,20.0,25.0,33.17,1,1,112,0,None
Complaint Registration,Complaints,14,57,Medium,0,0,General,0,15.0,20.0,33.94,1,1,114,0,None
Land Approval,Land,27,203,Low,0,0,General,0,30.0,45.0,170.76,1,1,101,0,None
Pension Request,Social Welfare,15,82,Medium,0,0,OBC,1,18.0,21.0,63.73,1,1,107,0,None
Income Certificate,Revenue,39,250,Medium,0,0,ST,0,5.0,7.0,26.82,1,1,107,0,None
Complaint Registration,Complaints,21,136,Low,0,0,General,1,15.0,20.0,95.54,1,1,107,0,None
Complaint Registration,Complaints,14,71,Critical,0,1,OBC,0,15.0,20.0,13.33,0,0,101,0,None
Scholarship Request,Social Welfare,19,156,Medium,0,0,OBC,0,12.0,15.0,42.5,1,1,109,0,None
Complaint Registration,Complaints,21,152,High,0,0,General,0,15.0,20.0,41.21,1,1,114,0,None
Caste Certificate,Revenue,11,69,Medium,0,0,General,0,7.0,10.0,14.06,1,1,102,0,None
Residence Certificate,Revenue,22,112,Low,0,0,General,0,4.0,7.0,17.34,1,1,104,0,None
Pension Request,Social Welfare,16,107,Medium,0,0,SC,0,18.0,21.0,50.33,1,1,106,0,None
Complaint Registration,Complaints,17,168,Low,0,0,General,0,15.0,20.0,72.7,1,1,102,0,None
Pension Request,Social Welfare,17,181,Medium,0,0,OBC,0,18.0,21.0,67.96,1,1,113,0,None
Complaint Registration,Complaints,22,182,Low,0,0,Senior Citizen,0,15.0,20.0,76.21,1,1,110,0,None
Pension Request,Social Welfare,37,277,Low,0,0,OBC,0,18.0,21.0,131.44,1,1,109,0,None
General Service Request,Revenue,9,103,High,0,0,SC,0,6.0,10.0,11.58,1,1,106,0,None
Scholarship Request,Social Welfare,18,122,Medium,0,0,General,0,12.0,15.0,36.97,1,1,114,0,None
Caste Certificate,Revenue,30,182,Low,0,0,General,0,7.0,10.0,39.15,1,1,107,0,None
Land Approval,Land,23,188,Low,0,0,Senior Citizen,0,30.0,45.0,149.82,1,1,106,0,None
Residence Certificate,Revenue,9,75,Medium,0,0,General,0,4.0,7.0,8.99,1,1,114,0,None
Scholarship Request,Social Welfare,22,188,High,0,0,General,0,12.0,15.0,33.31,1,1,113,0,None
Scholarship Request,Social Welfare,22,177,High,0,0,Senior Citizen,0,12.0,15.0,33.85,1,1,103,0,None
Complaint Registration,Complaints,14,127,Low,0,0,ST,0,15.0,20.0,56.34,1,1,106,0,None
Business License,Commercial,22,114,Low,0,0,General,0,20.0,25.0,82.39,1,1,109,0,None
Income Certificate,Revenue,19,188,Low,0,0,General,0,5.0,7.0,26.32,1,1,104,0,None
Income Certificate,Revenue,19,134,Medium,0,0,General,0,5.0,7.0,16.97,1,1,114,0,None
Complaint Registration,Complaints,29,141,High,0,0,General,0,15.0,20.0,44.91,1,1,103,0,None
Scholarship Request,Social Welfare,39,307,Medium,0,0,General,0,12.0,15.0,72.48,1,1,102,0,None
Complaint Registration,Complaints,13,80,High,0,0,General,2,15.0,20.0,45.96,1,1,106,0,None
Residence Certificate,Revenue,24,139,High,0,0,General,1,4.0,7.0,14.23,1,1,104,0,None
General Service Request,Revenue,13,76,Critical,1,0,General,1,6.0,10.0,8.39,1,0,114,0,None
Income Certificate,Revenue,16,103,Low,0,0,General,0,5.0,7.0,18.44,1,1,112,0,None
Complaint Registration,Complaints,19,88,Low,0,0,SC,0,15.0,20.0,56.38,1,1,111,0,None
Caste Certificate,Revenue,10,60,Medium,0,0,General,0,7.0,10.0,14.08,1,1,106,0,None
Scholarship Request,Social Welfare,14,109,Medium,0,0,General,0,12.0,15.0,32.57,1,1,106,0,None
Land Approval,Land,12,78,Medium,0,0,General,0,30.0,45.0,70.85,1,1,111,0,None
Business License,Commercial,20,102,Medium,0,0,General,0,20.0,25.0,59.09,1,1,109,0,None
Income Certificate,Revenue,19,194,Medium,0,0,ST,0,5.0,7.0,18.97,1,1,103,0,None
Business License,Commercial,23,105,Low,0,0,General,2,20.0,25.0,150.27,1,1,110,0,None
